iter	Passed	Remaining
553	41013	33017
554	41060	32921
555	41107	32827
556	41153	32730
557	41199	32634
558	41244	32538
559	41291	32443
560	41339	32349
561	41390	32258
562	41436	32163
563	41483	32068
564	41532	31976
565	41579	31882
566	41629	31790
567	41678	31699
568	41729	31608
569	41777	31516
570	41827	31425
571	41875	31333
572	41927	31244
573	41975	31152
574	42025	31062
575	42074	30971
576	42123	30880
577	42174	30791
578	42227	30704
579	42281	30617
580	42329	30526
581	42380	30438
582	42426	30345
583	42472	30254
584	42519	30163
585	42569	30074
586	42622	29988
587	42668	29896
588	42720	29809
589	42775	29725
590	42824	29636
591	42872	29547
592	42922	29459
593	42973	29372
594	43022	29284
595	43073	29197
596	43124	29110
597	43175	29024
598	43227	28938
599	43274	28849
600	43324	28762
601	43374	28676
602	43422	28588
603	43472	28502
604	43520	28414
605	43569	28327
606	43619	28241
607	43668	28154
608	43719	28069
609	43767	27982
610	43816	27895
611	43862	27808
612	43910	27721
613	43958	27634
614	44005	27548
615	44051	27460
616	44097	27373
617	44144	27286
618	44193	27201
619	44240	27115
620	44288	27029
621	44335	26943
622	44383	26858
623	44431	26772
624	44480	26688
625	44529	26604
626	44576	26518
627	44623	26433
628	44668	26346
629	44715	26261
630	44764	26177
631	44815	26095
632	44866	26012
633	44917	25930
634	44964	25845
635	45015	25763
636	45061	25678
637	45111	25596
638	45160	25513
639	45210	25431
640	45259	25348
641	45310	25266
642	45360	25184
643	45412	25103
644	45465	25023
645	45513	24940
646	45564	24859
647	45611	24776
648	45661	24695
649	45709	24612
650	45760	24532
651	45805	24448
652	45852	24365
653	45899	24283
654	45947	24201
655	45996	24120
656	46041	24036
657	46088	23954
658	46136	23873
659	46234	23817
660	46294	23742
661	46341	23660
662	46388	23579
663	46437	23498
664	46484	23416
665	46531	23335
666	46579	23255
667	46625	23172
668	46674	23092
669	46720	23011
670	46770	22932
671	46820	22852
672	46870	22773
673	46924	22696
674	46973	22617
675	47023	22537
676	47072	22458
677	47121	22379
678	47173	22301
679	47224	22223
680	47271	22143
681	47321	22064
682	47374	21987
683	47426	21910
684	47477	21832
685	47527	21754
686	47575	21675
687	47624	21596
688	47672	21518
689	47721	21440
690	47767	21360
691	47825	21286
692	47875	21208
693	47926	21131
694	47971	21052
695	48019	20974
696	48068	20896
697	48114	20817
698	48160	20738
699	48207	20660
700	48258	20583
701	48304	20505
702	48348	20426
703	48396	20348
704	48446	20271
705	48492	20193
706	48539	20116
707	48586	20038
708	48635	19961
709	48686	19885
710	48733	19808
711	48787	19734
712	48837	19658
713	48881	19580
714	48930	19503
715	48978	19427
716	49025	19350
717	49078	19275
718	49126	19199
719	49176	19124
720	49228	19049
721	49276	18973
722	49323	18896
723	49372	18821
724	49423	18746
725	49469	18670
726	49518	18594
727	49567	18519
728	49614	18443
729	49661	18368
730	49709	18292
731	49757	18217
732	49806	18142
733	49856	18067
734	49909	17994
735	49957	17919
736	50007	17845
737	50054	17770
738	50104	17695
739	50153	17621
740	50200	17546
741	50246	17470
742	50291	17395
743	50336	17320
744	50380	17244
745	50424	17168
746	50466	17092
747	50516	17019
748	50562	16944
749	50609	16869
750	50653	16794
751	50703	16721
752	50747	16646
753	50797	16573
754	50845	16499
755	50891	16425
756	50937	16351
757	50989	16278
758	51036	16205
759	51083	16131
760	51130	16058
761	51184	15986
762	51236	15914
763	51290	15843
764	51341	15771
765	51391	15699
766	51441	15626
767	51489	15554
768	51536	15481
769	51584	15408
770	51629	15334
771	51675	15261
772	51720	15188
773	51766	15115
774	51812	15042
775	51857	14969
776	51906	14897
777	51954	14825
778	52001	14752
779	52046	14679
780	52095	14607
781	52141	14535
782	52190	14463
783	52234	14391
784	52278	14318
785	52327	14246
786	52372	14174
787	52421	14103
788	52468	14031
789	52520	13961
790	52572	13890
791	52623	13820
792	52671	13749
793	52720	13678
794	52767	13606
795	52812	13534
796	52862	13464
797	52912	13394
798	52959	13322
799	53007	13251
800	53053	13180
801	53102	13110
802	53151	13039
803	53196	12968
804	53244	12897
805	53294	12827
806	53341	12757
807	53388	12686
808	53435	12615
809	53481	12544
810	53530	12474
811	53576	12404
812	53623	12334
813	53672	12264
814	53719	12193
815	53769	12124
816	53815	12054
817	53860	11983
818	53907	11913
819	53953	11843
820	54001	11773
821	54048	11704
822	54096	11634
823	54141	11564
824	54189	11494
825	54237	11425
826	54282	11355
827	54328	11285
828	54373	11215
829	54421	11146
830	54468	11077
831	54515	11007
832	54562	10938
833	54607	10869
834	54656	10800
835	54705	10731
836	54755	10663
837	54803	10594
838	54853	10526
839	54901	10457
840	54954	10389
841	55003	10321
842	55053	10253
843	55098	10184
844	55148	10116
845	55196	10047
846	55249	9980
847	55294	9911
848	55341	9842
849	55390	9774
850	55437	9706
851	55486	9638
852	55536	9570
853	55584	9502
854	55633	9434
855	55682	9367
856	55730	9299
857	55776	9231
858	55823	9163
859	55870	9095
860	55918	9027
861	55967	8960
862	56015	8892
863	56064	8824
864	56108	8756
865	56154	8688
866	56198	8621
867	56245	8553
868	56292	8485
869	56342	8418
870	56393	8352
871	56440	8284
872	56484	8217
873	56533	8150
874	56586	8083
875	56638	8017
876	56689	7950
877	56741	7884
878	56785	7816
879	56829	7749
880	56877	7682
881	56922	7615
882	56968	7548
883	57011	7481
884	57059	7414
885	57105	7347
886	57154	7281
887	57200	7214
888	57247	7147
889	57296	7081
890	57341	7014
891	57391	6948
892	57441	6882
893	57489	6816
894	57538	6750
895	57584	6683
896	57630	6617
897	57674	6550
898	57720	6484
899	57768	6418
900	57815	6352
901	57869	6287
902	57931	6222
903	57983	6157
904	58034	6092
905	58080	6026
906	58130	5960
907	58176	5894
908	58223	5828
909	58270	5763
910	58318	5697
911	58371	5632
912	58426	5567
913	58473	5501
914	58523	5436
915	58571	5371
916	58618	5305
917	58669	5240
918	58725	5176
919	58780	5111
920	58833	5046
921	58886	4981
922	58936	4916
923	58982	4851
924	59033	4786
925	59079	4721
926	59126	4656
927	59171	4590
928	59216	4525
929	59265	4460
930	59313	4395
931	59363	4331
932	59414	4266
933	59463	4201
934	59515	4137
935	59564	4072
936	59613	4008
937	59659	3943
938	59711	3879
939	59757	3814
940	59805	3749
941	59852	3685
942	59899	3620
943	59945	3556
944	59992	3491
945	60041	3427
946	60086	3362
947	60133	3298
948	60177	3233
949	60224	3169
950	60276	3105
951	60324	3041
952	60374	2977
953	60423	2913
954	60470	2849
955	60516	2785
956	60566	2721
957	60614	2657
958	60666	2593
959	60713	2529
960	60758	2465
961	60809	2402
962	60867	2338
963	60922	2275
964	60973	2211
965	61026	2147
966	61076	2084
967	61123	2020
968	61171	1956
969	61219	1893
970	61265	1829
971	61312	1766
972	61357	1702
973	61405	1639
974	61453	1575
975	61503	1512
976	61552	1449
977	61599	1385
978	61646	1322
979	61693	1259
980	61742	1195
981	61789	1132
982	61835	1069
983	61881	1006
984	61928	943
985	61974	879
986	62019	816
987	62071	753
988	62118	690
989	62165	627
990	62213	565
991	62262	502
992	62308	439
993	62354	376
994	62404	313
995	62453	250
996	62502	188
997	62551	125
998	62599	62
999	62653	0
